#Time 	 x_analytical 	 v_analytical 	 x_MPM 	 v_MPM 	 error_x 	 error_v
0.000000 	 0.500000 	 0.100000 	 0.500000 	 0.100000 	 0.000000 	 0.000000
0.010000 	 0.500500 	 0.099803 	 0.500500 	 0.100000 	 0.000000 	 0.000197
0.020000 	 0.500998 	 0.099211 	 0.500997 	 0.099605 	 0.000002 	 0.000394
0.030000 	 0.501493 	 0.098229 	 0.501488 	 0.098819 	 0.000006 	 0.000590
0.040000 	 0.501983 	 0.096858 	 0.501972 	 0.097645 	 0.000011 	 0.000787
0.050000 	 0.502465 	 0.095106 	 0.502446 	 0.096091 	 0.000019 	 0.000985
0.060000 	 0.502938 	 0.092978 	 0.502910 	 0.094163 	 0.000028 	 0.001186
0.070000 	 0.503400 	 0.090483 	 0.503360 	 0.091871 	 0.000039 	 0.001389
0.080000 	 0.503848 	 0.087631 	 0.503796 	 0.089226 	 0.000052 	 0.001595
0.090000 	 0.504282 	 0.084433 	 0.504216 	 0.086238 	 0.000066 	 0.001806
0.100000 	 0.504699 	 0.080902 	 0.504618 	 0.082922 	 0.000082 	 0.002020
0.110000 	 0.505098 	 0.077051 	 0.505000 	 0.079291 	 0.000099 	 0.002240
0.120000 	 0.505477 	 0.072897 	 0.505361 	 0.075361 	 0.000116 	 0.002464
0.130000 	 0.505835 	 0.068455 	 0.505700 	 0.071149 	 0.000135 	 0.002694
0.140000 	 0.506169 	 0.063742 	 0.506015 	 0.066672 	 0.000155 	 0.002930
0.150000 	 0.506480 	 0.058779 	 0.506305 	 0.061950 	 0.000175 	 0.003171
0.160000 	 0.506764 	 0.053583 	 0.506569 	 0.057001 	 0.000195 	 0.003418
0.170000 	 0.507022 	 0.048175 	 0.506806 	 0.051846 	 0.000216 	 0.003670
0.180000 	 0.507252 	 0.042578 	 0.507015 	 0.046506 	 0.000237 	 0.003928
0.190000 	 0.507454 	 0.036812 	 0.507196 	 0.041003 	 0.000258 	 0.004190
0.200000 	 0.507626 	 0.030902 	 0.507348 	 0.035359 	 0.000278 	 0.004457
0.210000 	 0.507767 	 0.024869 	 0.507470 	 0.029598 	 0.000298 	 0.004729
0.220000 	 0.507878 	 0.018738 	 0.507561 	 0.023741 	 0.000317 	 0.005003
0.230000 	 0.507958 	 0.012533 	 0.507622 	 0.017813 	 0.000335 	 0.005280
0.240000 	 0.508005 	 0.006279 	 0.507653 	 0.011838 	 0.000352 	 0.005559
0.250000 	 0.508021 	 0.000000 	 0.507653 	 0.005839 	 0.000368 	 0.005839
0.260000 	 0.508005 	 -0.006279 	 0.507623 	 -0.000160 	 0.000383 	 0.006119
0.270000 	 0.507958 	 -0.012533 	 0.507562 	 -0.006136 	 0.000395 	 0.006397
0.280000 	 0.507878 	 -0.018738 	 0.507472 	 -0.012064 	 0.000406 	 0.006674
0.290000 	 0.507767 	 -0.024869 	 0.507352 	 -0.017923 	 0.000415 	 0.006946
0.300000 	 0.507626 	 -0.030902 	 0.507203 	 -0.023688 	 0.000422 	 0.007214
0.310000 	 0.507454 	 -0.036812 	 0.507027 	 -0.029337 	 0.000427 	 0.007475
0.320000 	 0.507252 	 -0.042578 	 0.506823 	 -0.034849 	 0.000430 	 0.007729
0.330000 	 0.507022 	 -0.048175 	 0.506593 	 -0.040202 	 0.000429 	 0.007973
0.340000 	 0.506764 	 -0.053583 	 0.506337 	 -0.045376 	 0.000427 	 0.008207
0.350000 	 0.506480 	 -0.058779 	 0.506058 	 -0.050351 	 0.000422 	 0.008428
0.360000 	 0.506169 	 -0.063742 	 0.505756 	 -0.055108 	 0.000414 	 0.008635
0.370000 	 0.505835 	 -0.068455 	 0.505432 	 -0.059629 	 0.000403 	 0.008826
0.380000 	 0.505477 	 -0.072897 	 0.505088 	 -0.063897 	 0.000390 	 0.009000
0.390000 	 0.505098 	 -0.077051 	 0.504725 	 -0.067896 	 0.000373 	 0.009155
0.400000 	 0.504699 	 -0.080902 	 0.504345 	 -0.071612 	 0.000354 	 0.009289
0.410000 	 0.504282 	 -0.084433 	 0.503950 	 -0.075031 	 0.000333 	 0.009402
0.420000 	 0.503848 	 -0.087631 	 0.503540 	 -0.078141 	 0.000308 	 0.009490
0.430000 	 0.503400 	 -0.090483 	 0.503119 	 -0.080929 	 0.000281 	 0.009553
0.440000 	 0.502938 	 -0.092978 	 0.502687 	 -0.083388 	 0.000251 	 0.009590
0.450000 	 0.502465 	 -0.095106 	 0.502247 	 -0.085507 	 0.000218 	 0.009598
0.460000 	 0.501983 	 -0.096858 	 0.501800 	 -0.087281 	 0.000183 	 0.009577
0.470000 	 0.501493 	 -0.098229 	 0.501347 	 -0.088704 	 0.000146 	 0.009525
0.480000 	 0.500998 	 -0.099211 	 0.500892 	 -0.089770 	 0.000106 	 0.009441
0.490000 	 0.500500 	 -0.099803 	 0.500435 	 -0.090478 	 0.000065 	 0.009325
0.500000 	 0.500000 	 -0.100000 	 0.499979 	 -0.090826 	 0.000021 	 0.009174
0.510000 	 0.499501 	 -0.099803 	 0.499525 	 -0.090814 	 0.000025 	 0.008989
0.520000 	 0.499004 	 -0.099211 	 0.499075 	 -0.090444 	 0.000072 	 0.008768
0.530000 	 0.498511 	 -0.098229 	 0.498631 	 -0.089717 	 0.000120 	 0.008511
0.540000 	 0.498025 	 -0.096858 	 0.498194 	 -0.088640 	 0.000170 	 0.008218
0.550000 	 0.497547 	 -0.095106 	 0.497767 	 -0.087217 	 0.000220 	 0.007889
0.560000 	 0.497079 	 -0.092978 	 0.497351 	 -0.085455 	 0.000271 	 0.007522
0.570000 	 0.496623 	 -0.090483 	 0.496946 	 -0.083363 	 0.000323 	 0.007119
0.580000 	 0.496181 	 -0.087631 	 0.496556 	 -0.080951 	 0.000375 	 0.006680
0.590000 	 0.495754 	 -0.084433 	 0.496182 	 -0.078228 	 0.000427 	 0.006205
0.600000 	 0.495344 	 -0.080902 	 0.495824 	 -0.075207 	 0.000479 	 0.005694
0.610000 	 0.494953 	 -0.077051 	 0.495484 	 -0.071902 	 0.000531 	 0.005150
0.620000 	 0.494582 	 -0.072897 	 0.495163 	 -0.068326 	 0.000581 	 0.004571
0.630000 	 0.494233 	 -0.068455 	 0.494863 	 -0.064494 	 0.000631 	 0.003960
0.640000 	 0.493906 	 -0.063742 	 0.494585 	 -0.060424 	 0.000679 	 0.003319
0.650000 	 0.493603 	 -0.058779 	 0.494329 	 -0.056131 	 0.000726 	 0.002648
0.660000 	 0.493326 	 -0.053583 	 0.494096 	 -0.051634 	 0.000770 	 0.001949
0.670000 	 0.493075 	 -0.048175 	 0.493888 	 -0.046951 	 0.000813 	 0.001224
0.680000 	 0.492851 	 -0.042578 	 0.493705 	 -0.042102 	 0.000854 	 0.000476
0.690000 	 0.492656 	 -0.036812 	 0.493547 	 -0.037106 	 0.000891 	 0.000294
0.700000 	 0.492489 	 -0.030902 	 0.493415 	 -0.031984 	 0.000926 	 0.001083
0.710000 	 0.492351 	 -0.024869 	 0.493309 	 -0.026757 	 0.000958 	 0.001888
0.720000 	 0.492244 	 -0.018738 	 0.493231 	 -0.021445 	 0.000987 	 0.002707
0.730000 	 0.492167 	 -0.012533 	 0.493178 	 -0.016070 	 0.001011 	 0.003537
0.740000 	 0.492121 	 -0.006279 	 0.493153 	 -0.010653 	 0.001033 	 0.004374
0.750000 	 0.492105 	 -0.000000 	 0.493155 	 -0.005216 	 0.001050 	 0.005216
0.760000 	 0.492121 	 0.006279 	 0.493184 	 0.000219 	 0.001063 	 0.006060
0.770000 	 0.492167 	 0.012533 	 0.493239 	 0.005631 	 0.001072 	 0.006902
0.780000 	 0.492244 	 0.018738 	 0.493321 	 0.011000 	 0.001077 	 0.007739
0.790000 	 0.492351 	 0.024869 	 0.493428 	 0.016303 	 0.001076 	 0.008566
0.800000 	 0.492489 	 0.030902 	 0.493560 	 0.021520 	 0.001072 	 0.009382
0.810000 	 0.492656 	 0.036812 	 0.493718 	 0.026631 	 0.001062 	 0.010182
0.820000 	 0.492851 	 0.042578 	 0.493899 	 0.031616 	 0.001048 	 0.010962
0.830000 	 0.493075 	 0.048175 	 0.494104 	 0.036456 	 0.001029 	 0.011719
0.840000 	 0.493326 	 0.053583 	 0.494331 	 0.041133 	 0.001005 	 0.012450
0.850000 	 0.493603 	 0.058779 	 0.494579 	 0.045628 	 0.000976 	 0.013150
0.860000 	 0.493906 	 0.063742 	 0.494847 	 0.049925 	 0.000942 	 0.013817
0.870000 	 0.494233 	 0.068455 	 0.495135 	 0.054008 	 0.000903 	 0.014447
0.880000 	 0.494582 	 0.072897 	 0.495441 	 0.057861 	 0.000859 	 0.015036
0.890000 	 0.494953 	 0.077051 	 0.495764 	 0.061470 	 0.000811 	 0.015581
0.900000 	 0.495344 	 0.080902 	 0.496102 	 0.064822 	 0.000758 	 0.016079
0.910000 	 0.495754 	 0.084433 	 0.496455 	 0.067905 	 0.000701 	 0.016528
0.920000 	 0.496181 	 0.087631 	 0.496820 	 0.070707 	 0.000639 	 0.016924
0.930000 	 0.496623 	 0.090483 	 0.497196 	 0.073219 	 0.000573 	 0.017264
0.940000 	 0.497079 	 0.092978 	 0.497582 	 0.075431 	 0.000503 	 0.017546
0.950000 	 0.497547 	 0.095106 	 0.497977 	 0.077337 	 0.000430 	 0.017768
0.960000 	 0.498025 	 0.096858 	 0.498378 	 0.078930 	 0.000353 	 0.017928
0.970000 	 0.498511 	 0.098229 	 0.498784 	 0.080206 	 0.000273 	 0.018023
0.980000 	 0.499004 	 0.099211 	 0.499194 	 0.081159 	 0.000190 	 0.018052
0.990000 	 0.499501 	 0.099803 	 0.499605 	 0.081788 	 0.000104 	 0.018014
1.000000 	 0.500000 	 0.100000 	 0.500017 	 0.082092 	 0.000017 	 0.017908
1.010000 	 0.500500 	 0.099803 	 0.500427 	 0.082071 	 0.000073 	 0.017732
1.020000 	 0.500998 	 0.099211 	 0.500834 	 0.081726 	 0.000164 	 0.017486
1.030000 	 0.501493 	 0.098229 	 0.501237 	 0.081059 	 0.000257 	 0.017170
1.040000 	 0.501983 	 0.096858 	 0.501633 	 0.080075 	 0.000350 	 0.016783
1.050000 	 0.502465 	 0.095106 	 0.502022 	 0.078779 	 0.000443 	 0.016327
1.060000 	 0.502938 	 0.092978 	 0.502401 	 0.077177 	 0.000537 	 0.015801
1.070000 	 0.503400 	 0.090483 	 0.502770 	 0.075276 	 0.000630 	 0.015207
1.080000 	 0.503848 	 0.087631 	 0.503127 	 0.073086 	 0.000722 	 0.014545
1.090000 	 0.504282 	 0.084433 	 0.503470 	 0.070615 	 0.000812 	 0.013817
1.100000 	 0.504699 	 0.080902 	 0.503798 	 0.067876 	 0.000901 	 0.013026
1.110000 	 0.505098 	 0.077051 	 0.504110 	 0.064879 	 0.000988 	 0.012172
1.120000 	 0.505477 	 0.072897 	 0.504405 	 0.061638 	 0.001073 	 0.011259
1.130000 	 0.505835 	 0.068455 	 0.504681 	 0.058166 	 0.001154 	 0.010289
1.140000 	 0.506169 	 0.063742 	 0.504937 	 0.054478 	 0.001232 	 0.009264
1.150000 	 0.506480 	 0.058779 	 0.505174 	 0.050589 	 0.001306 	 0.008189
1.160000 	 0.506764 	 0.053583 	 0.505388 	 0.046515 	 0.001376 	 0.007067
1.170000 	 0.507022 	 0.048175 	 0.505581 	 0.042274 	 0.001441 	 0.005901
1.180000 	 0.507252 	 0.042578 	 0.505751 	 0.037882 	 0.001502 	 0.004696
1.190000 	 0.507454 	 0.036812 	 0.505897 	 0.033358 	 0.001557 	 0.003455
1.200000 	 0.507626 	 0.030902 	 0.506020 	 0.028719 	 0.001606 	 0.002183
1.210000 	 0.507767 	 0.024869 	 0.506118 	 0.023984 	 0.001650 	 0.000885
1.220000 	 0.507878 	 0.018738 	 0.506191 	 0.019174 	 0.001687 	 0.000436
