# step	 time	 x_p_n	 v_p_n	 N0	 N1	 mass_n0	 mass_n1	 mv_n0	 mv_n1	 f_total0	 f_total1	 mv_n0_after	 mv_n1_after	 a_grid	 v_pic	 x_p_np1	 v_p_np1
0	0.0000000000	0.5000000000	0.1000000000	0.5000000000	0.5000000000	0.5000000000	0.5000000000	0.0000000000	0.0500000000	0.0000000000	0.0000000000	0.0000000000	0.0500000000	0.0000000000	0.0500000000	0.5005000000	0.1000000000
1	0.0100000000	0.5005000000	0.1000000000	0.4995000000	0.5005000000	0.4995000000	0.5005000000	0.0000000000	0.0500500000	0.0394784176	-0.0394784176	0.0000000000	0.0496552158	0.0000000000	0.0496552158	0.5009965522	0.0996052158
2	0.0200000000	0.5009965522	0.0996052158	0.4990034478	0.5009965522	0.4990034478	0.5009965522	0.0000000000	0.0499018697	0.0786454375	-0.0786454375	0.0000000000	0.0491154153	0.0000000000	0.0491154153	0.5014877063	0.0988187614
3	0.0300000000	0.5014877063	0.0988187614	0.4985122937	0.5014877063	0.4985122937	0.5014877063	0.0000000000	0.0495563940	0.1173482763	-0.1173482763	0.0000000000	0.0483829113	0.0000000000	0.0483829113	0.5019715354	0.0976452787
4	0.0400000000	0.5019715354	0.0976452787	0.4980284646	0.5019715354	0.4980284646	0.5019715354	0.0000000000	0.0490151505	0.1554365634	-0.1554365634	0.0000000000	0.0474607848	0.0000000000	0.0474607848	0.5024461433	0.0960909131
5	0.0500000000	0.5024461433	0.0960909131	0.4975538567	0.5024461433	0.4975538567	0.5024461433	0.0000000000	0.0482805087	0.1927629166	-0.1927629166	0.0000000000	0.0463528795	0.0000000000	0.0463528795	0.5029096721	0.0941632839
6	0.0600000000	0.5029096721	0.0941632839	0.4970903279	0.5029096721	0.4970903279	0.5029096721	0.0000000000	0.0473556262	0.2291835034	-0.2291835034	0.0000000000	0.0450637912	0.0000000000	0.0450637912	0.5033603100	0.0918714489
7	0.0700000000	0.5033603100	0.0918714489	0.4966396900	0.5033603100	0.4966396900	0.5033603100	0.0000000000	0.0462444410	0.2645585869	-0.2645585869	0.0000000000	0.0435988551	0.0000000000	0.0435988551	0.5037962985	0.0892258630
8	0.0800000000	0.5037962985	0.0892258630	0.4962037015	0.5037962985	0.4962037015	0.5037962985	0.0000000000	0.0449516595	0.2987530551	-0.2987530551	0.0000000000	0.0419641290	0.0000000000	0.0419641290	0.5042159398	0.0862383324
9	0.0900000000	0.5042159398	0.0862383324	0.4957840602	0.5042159398	0.4957840602	0.5042159398	0.0000000000	0.0434827418	0.3316369292	-0.3316369292	0.0000000000	0.0401663725	0.0000000000	0.0401663725	0.5046176035	0.0829219631
10	0.1000000000	0.5046176035	0.0829219631	0.4953823965	0.5046176035	0.4953823965	0.5046176035	0.0000000000	0.0418438823	0.3630858523	-0.3630858523	0.0000000000	0.0382130238	0.0000000000	0.0382130238	0.5049997338	0.0792911046
11	0.1100000000	0.5049997338	0.0792911046	0.4950002662	0.5049997338	0.4950002662	0.5049997338	0.0000000000	0.0400419867	0.3929815535	-0.3929815535	0.0000000000	0.0361121712	0.0000000000	0.0361121712	0.5053608555	0.0753612891
12	0.1200000000	0.5053608555	0.0753612891	0.4946391445	0.5053608555	0.4946391445	0.5053608555	0.0000000000	0.0380846455	0.4212122887	-0.4212122887	0.0000000000	0.0338725226	0.0000000000	0.0338725226	0.5056995807	0.0711491662
13	0.1300000000	0.5056995807	0.0711491662	0.4943004193	0.5056995807	0.4943004193	0.5056995807	0.0000000000	0.0359801035	0.4476732537	-0.4476732537	0.0000000000	0.0315033710	0.0000000000	0.0315033710	0.5060146144	0.0666724337
14	0.1400000000	0.5060146144	0.0666724337	0.4939853856	0.5060146144	0.4939853856	0.5060146144	0.0000000000	0.0337372258	0.4722669707	-0.4722669707	0.0000000000	0.0290145561	0.0000000000	0.0290145561	0.5063047600	0.0619497640
