time,x_num,v_num,x_ana,v_ana
0.0000000000,0.5000000000,0.1000000000,0.5000000000,0.1000000000
0.0100000000,0.5005000000,0.0500000000,0.5004999208,0.0998026728
0.0200000000,0.5007463022,0.0246302158,0.5009983656,0.0992114701
0.0300000000,0.5008637464,0.0117444272,0.5014933588,0.0982287251
0.0400000000,0.5009157535,0.0052007034,0.5019829329,0.0968583161
0.0500000000,0.5009345781,0.0018824676,0.5024651361,0.0951056516
0.0600000000,0.5009366332,0.0002055103,0.5029380405,0.0929776486
0.0700000000,0.5009302717,-0.0006361548,0.5033997501,0.0904827052
0.0800000000,0.5009197441,-0.0010527582,0.5038484086,0.0876306680
0.0900000000,0.5009072127,-0.0012531395,0.5042822074,0.0844327926
0.1000000000,0.5008937765,-0.0013436226,0.5046993933,0.0809016994
0.1100000000,0.5008799931,-0.0013783385,0.5050982760,0.0770513243
0.1200000000,0.5008661447,-0.0013848450,0.5054772356,0.0728968627
0.1300000000,0.5008523730,-0.0013771697,0.5058347295,0.0684547106
0.1400000000,0.5008387484,-0.0013624516,0.5061692996,0.0637423990
0.1500000000,0.5008253052,-0.0013443222,0.5064795784,0.0587785252
0.1600000000,0.5008120589,-0.0013246277,0.5067642953,0.0535826795
0.1700000000,0.5007990159,-0.0013043050,0.5070222825,0.0481753674
0.1800000000,0.5007861776,-0.0012838285,0.5072524802,0.0425779292
0.1900000000,0.5007735432,-0.0012634369,0.5074539413,0.0368124553
0.2000000000,0.5007611107,-0.0012432490,0.5076258361,0.0309016994
0.2100000000,0.5007488775,-0.0012233229,0.5077674556,0.0248689887
0.2200000000,0.5007368407,-0.0012036854,0.5078782155,0.0187381315
0.2300000000,0.5007249972,-0.0011843477,0.5079576583,0.0125333234
0.2400000000,0.5007133441,-0.0011653132,0.5080054557,0.0062790520
0.2500000000,0.5007018782,-0.0011465809,0.5080214102,-0.0000000000
0.2600000000,0.5006905968,-0.0011281481,0.5080054557,-0.0062790520
0.2700000000,0.5006794967,-0.0011100110,0.5079576583,-0.0125333234
0.2800000000,0.5006685750,-0.0010921654,0.5078782155,-0.0187381315
0.2900000000,0.5006578289,-0.0010746069,0.5077674556,-0.0248689887
0.3000000000,0.5006472556,-0.0010573309,0.5076258361,-0.0309016994
0.3100000000,0.5006368523,-0.0010403330,0.5074539413,-0.0368124553
0.3200000000,0.5006266162,-0.0010236087,0.5072524802,-0.0425779292
0.3300000000,0.5006165447,-0.0010071536,0.5070222825,-0.0481753674
0.3400000000,0.5006066350,-0.0009909634,0.5067642953,-0.0535826795
0.3500000000,0.5005968847,-0.0009750338,0.5064795784,-0.0587785252
0.3600000000,0.5005872911,-0.0009593606,0.5061692996,-0.0637423990
0.3700000000,0.5005778517,-0.0009439396,0.5058347295,-0.0684547106
0.3800000000,0.5005685640,-0.0009287669,0.5054772356,-0.0728968627
0.3900000000,0.5005594256,-0.0009138383,0.5050982760,-0.0770513243
0.4000000000,0.5005504341,-0.0008991501,0.5046993933,-0.0809016994
0.4100000000,0.5005415872,-0.0008846981,0.5042822074,-0.0844327926
0.4200000000,0.5005328824,-0.0008704788,0.5038484086,-0.0876306680
0.4300000000,0.5005243175,-0.0008564882,0.5033997501,-0.0904827052
0.4400000000,0.5005158903,-0.0008427228,0.5029380405,-0.0929776486
0.4500000000,0.5005075985,-0.0008291789,0.5024651361,-0.0951056516
0.4600000000,0.5004994399,-0.0008158529,0.5019829329,-0.0968583161
0.4700000000,0.5004914125,-0.0008027412,0.5014933588,-0.0982287251
0.4800000000,0.5004835141,-0.0007898406,0.5009983656,-0.0992114701
0.4900000000,0.5004757427,-0.0007771475,0.5004999208,-0.0998026728
0.5000000000,0.5004680961,-0.0007646585,0.5000000000,-0.1000000000
0.5100000000,0.5004605724,-0.0007523705,0.4995005785,-0.0998026728
0.5200000000,0.5004531696,-0.0007402802,0.4990036239,-0.0992114701
0.5300000000,0.5004458857,-0.0007283843,0.4985110881,-0.0982287251
0.5400000000,0.5004387189,-0.0007166798,0.4980249001,-0.0968583161
0.5500000000,0.5004316673,-0.0007051636,0.4975469581,-0.0951056516
0.5600000000,0.5004247290,-0.0006938326,0.4970791228,-0.0929776486
0.5700000000,0.5004179021,-0.0006826838,0.4966232104,-0.0904827052
0.5800000000,0.5004111850,-0.0006717143,0.4961809856,-0.0876306680
0.5900000000,0.5004045758,-0.0006609213,0.4957541557,-0.0844327926
0.6000000000,0.5003980727,-0.0006503018,0.4953443640,-0.0809016994
0.6100000000,0.5003916742,-0.0006398531,0.4949531841,-0.0770513243
