# time	x_num	v_num	x_ana	v_ana
0.0000000000	12.5000000000	0.0707106781	12.5000000000	0.0707106781
0.0192307692	12.5013548634	0.0707106781	12.5013597876	0.0707055163
0.0384615385	12.5027095302	0.0707004097	12.5027193768	0.0706900316
0.0576923077	12.5040638036	0.0706798743	12.5040785689	0.0706642263
0.0769230769	12.5054174869	0.0706490749	12.5054371655	0.0706281041
0.0961538462	12.5067703836	0.0706080159	12.5067949683	0.0705816703
0.1153846154	12.5081222971	0.0705567032	12.5081517791	0.0705249318
0.1346153846	12.5094730311	0.0704951444	12.5095073997	0.0704578967
0.1538461538	12.5108223895	0.0704233482	12.5108616322	0.0703805748
0.1730769231	12.5121701761	0.0703413251	12.5122142790	0.0702929776
0.1923076923	12.5135161954	0.0702490869	12.5135651425	0.0701951177
0.2115384615	12.5148602518	0.0701466471	12.5149140255	0.0700870094
0.2307692308	12.5162021501	0.0700340203	12.5162607311	0.0699686685
0.2500000000	12.5175416954	0.0699112229	12.5176050627	0.0698401123
0.2692307692	12.5188786933	0.0697782727	12.5189468239	0.0697013596
0.2884615385	12.5202129494	0.0696351889	12.5202858190	0.0695524306
0.3076923077	12.5215442701	0.0694819921	12.5216218523	0.0693933471
0.3269230769	12.5228724621	0.0693187044	12.5229547289	0.0692241323
0.3461538462	12.5241973325	0.0691453495	12.5242842541	0.0690448108
0.3653846154	12.5255186889	0.0689619522	12.5256102339	0.0688554090
0.3846153846	12.5268363396	0.0687685390	12.5269324747	0.0686559543
0.4038461538	12.5281500932	0.0685651375	12.5282507833	0.0684464760
0.4230769231	12.5294597590	0.0683517771	12.5295649674	0.0682270047
0.4423076923	12.5307651470	0.0681284881	12.5308748350	0.0679975723
0.4615384615	12.5320660678	0.0678953025	12.5321801950	0.0677582124
0.4807692308	12.5333623326	0.0676522534	12.5334808567	0.0675089599
0.5000000000	12.5346537534	0.0673993754	12.5347766303	0.0672498512
0.5192307692	12.5359401429	0.0671367042	12.5360673265	0.0669809241
0.5384615385	12.5372213146	0.0668642770	12.5373527570	0.0667022180
0.5576923077	12.5384970826	0.0665821319	12.5386327340	0.0664137734
0.5769230769	12.5397672622	0.0662903086	12.5399070707	0.0661156326
0.5961538462	12.5410316692	0.0659888478	12.5411755811	0.0658078389
0.6153846154	12.5422901204	0.0656777914	12.5424380798	0.0654904375
0.6346153846	12.5435424336	0.0653571825	12.5436943827	0.0651634745
0.6538461538	12.5447884274	0.0650270654	12.5449443063	0.0648269978
0.6730769231	12.5460279215	0.0646874853	12.5461876681	0.0644810565
0.6923076923	12.5472607364	0.0643384887	12.5474242866	0.0641257010
0.7115384615	12.5484866937	0.0639801232	12.5486539812	0.0637609833
0.7307692308	12.5497056160	0.0636124373	12.5498765725	0.0633869566
