#x 	 N1 	 N2 	 N1_x 	 N2_x
0.000000 	 1.000000 	 0.000000 	 -13.000000 	 13.000000
0.010000 	 0.870000 	 0.130000 	 -13.000000 	 13.000000
0.020000 	 0.740000 	 0.260000 	 -13.000000 	 13.000000
0.030000 	 0.610000 	 0.390000 	 -13.000000 	 13.000000
0.040000 	 0.480000 	 0.520000 	 -13.000000 	 13.000000
0.050000 	 0.350000 	 0.650000 	 -13.000000 	 13.000000
0.060000 	 0.220000 	 0.780000 	 -13.000000 	 13.000000
0.070000 	 0.090000 	 0.910000 	 -13.000000 	 13.000000
0.080000 	 -0.040000 	 1.040000 	 -13.000000 	 13.000000
0.090000 	 -0.170000 	 1.170000 	 -13.000000 	 13.000000
0.100000 	 -0.300000 	 1.300000 	 -13.000000 	 13.000000
0.110000 	 -0.430000 	 1.430000 	 -13.000000 	 13.000000
0.120000 	 -0.560000 	 1.560000 	 -13.000000 	 13.000000
0.130000 	 -0.690000 	 1.690000 	 -13.000000 	 13.000000
0.140000 	 -0.820000 	 1.820000 	 -13.000000 	 13.000000
0.150000 	 -0.950000 	 1.950000 	 -13.000000 	 13.000000
0.160000 	 -1.080000 	 2.080000 	 -13.000000 	 13.000000
0.170000 	 -1.210000 	 2.210000 	 -13.000000 	 13.000000
0.180000 	 -1.340000 	 2.340000 	 -13.000000 	 13.000000
0.190000 	 -1.470000 	 2.470000 	 -13.000000 	 13.000000
0.200000 	 -1.600000 	 2.600000 	 -13.000000 	 13.000000
0.210000 	 -1.730000 	 2.730000 	 -13.000000 	 13.000000
0.220000 	 -1.860000 	 2.860000 	 -13.000000 	 13.000000
0.230000 	 -1.990000 	 2.990000 	 -13.000000 	 13.000000
0.240000 	 -2.120000 	 3.120000 	 -13.000000 	 13.000000
0.250000 	 -2.250000 	 3.250000 	 -13.000000 	 13.000000
0.260000 	 -2.380000 	 3.380000 	 -13.000000 	 13.000000
0.270000 	 -2.510000 	 3.510000 	 -13.000000 	 13.000000
0.280000 	 -2.640000 	 3.640000 	 -13.000000 	 13.000000
0.290000 	 -2.770000 	 3.770000 	 -13.000000 	 13.000000
0.300000 	 -2.900000 	 3.900000 	 -13.000000 	 13.000000
0.310000 	 -3.030000 	 4.030000 	 -13.000000 	 13.000000
0.320000 	 -3.160000 	 4.160000 	 -13.000000 	 13.000000
0.330000 	 -3.290000 	 4.290000 	 -13.000000 	 13.000000
0.340000 	 -3.420000 	 4.420000 	 -13.000000 	 13.000000
0.350000 	 -3.550000 	 4.550000 	 -13.000000 	 13.000000
0.360000 	 -3.680000 	 4.680000 	 -13.000000 	 13.000000
0.370000 	 -3.810000 	 4.810000 	 -13.000000 	 13.000000
0.380000 	 -3.940000 	 4.940000 	 -13.000000 	 13.000000
0.390000 	 -4.070000 	 5.070000 	 -13.000000 	 13.000000
0.400000 	 -4.200000 	 5.200000 	 -13.000000 	 13.000000
0.410000 	 -4.330000 	 5.330000 	 -13.000000 	 13.000000
0.420000 	 -4.460000 	 5.460000 	 -13.000000 	 13.000000
0.430000 	 -4.590000 	 5.590000 	 -13.000000 	 13.000000
0.440000 	 -4.720000 	 5.720000 	 -13.000000 	 13.000000
0.450000 	 -4.850000 	 5.850000 	 -13.000000 	 13.000000
0.460000 	 -4.980000 	 5.980000 	 -13.000000 	 13.000000
0.470000 	 -5.110000 	 6.110000 	 -13.000000 	 13.000000
0.480000 	 -5.240000 	 6.240000 	 -13.000000 	 13.000000
0.490000 	 -5.370000 	 6.370000 	 -13.000000 	 13.000000
0.500000 	 -5.500000 	 6.500000 	 -13.000000 	 13.000000
0.510000 	 -5.630000 	 6.630000 	 -13.000000 	 13.000000
0.520000 	 -5.760000 	 6.760000 	 -13.000000 	 13.000000
0.530000 	 -5.890000 	 6.890000 	 -13.000000 	 13.000000
0.540000 	 -6.020000 	 7.020000 	 -13.000000 	 13.000000
0.550000 	 -6.150000 	 7.150000 	 -13.000000 	 13.000000
0.560000 	 -6.280000 	 7.280000 	 -13.000000 	 13.000000
0.570000 	 -6.410000 	 7.410000 	 -13.000000 	 13.000000
0.580000 	 -6.540000 	 7.540000 	 -13.000000 	 13.000000
0.590000 	 -6.670000 	 7.670000 	 -13.000000 	 13.000000
0.600000 	 -6.800000 	 7.800000 	 -13.000000 	 13.000000
0.610000 	 -6.930000 	 7.930000 	 -13.000000 	 13.000000
0.620000 	 -7.060000 	 8.060000 	 -13.000000 	 13.000000
0.630000 	 -7.190000 	 8.190000 	 -13.000000 	 13.000000
0.640000 	 -7.320000 	 8.320000 	 -13.000000 	 13.000000
0.650000 	 -7.450000 	 8.450000 	 -13.000000 	 13.000000
0.660000 	 -7.580000 	 8.580000 	 -13.000000 	 13.000000
0.670000 	 -7.710000 	 8.710000 	 -13.000000 	 13.000000
0.680000 	 -7.840000 	 8.840000 	 -13.000000 	 13.000000
0.690000 	 -7.970000 	 8.970000 	 -13.000000 	 13.000000
0.700000 	 -8.100000 	 9.100000 	 -13.000000 	 13.000000
0.710000 	 -8.230000 	 9.230000 	 -13.000000 	 13.000000
0.720000 	 -8.360000 	 9.360000 	 -13.000000 	 13.000000
0.730000 	 -8.490000 	 9.490000 	 -13.000000 	 13.000000
0.740000 	 -8.620000 	 9.620000 	 -13.000000 	 13.000000
0.750000 	 -8.750000 	 9.750000 	 -13.000000 	 13.000000
0.760000 	 -8.880000 	 9.880000 	 -13.000000 	 13.000000
0.770000 	 -9.010000 	 10.010000 	 -13.000000 	 13.000000
0.780000 	 -9.140000 	 10.140000 	 -13.000000 	 13.000000
0.790000 	 -9.270000 	 10.270000 	 -13.000000 	 13.000000
0.800000 	 -9.400000 	 10.400000 	 -13.000000 	 13.000000
0.810000 	 -9.530000 	 10.530000 	 -13.000000 	 13.000000
0.820000 	 -9.660000 	 10.660000 	 -13.000000 	 13.000000
0.830000 	 -9.790000 	 10.790000 	 -13.000000 	 13.000000
0.840000 	 -9.920000 	 10.920000 	 -13.000000 	 13.000000
0.850000 	 -10.050000 	 11.050000 	 -13.000000 	 13.000000
0.860000 	 -10.180000 	 11.180000 	 -13.000000 	 13.000000
0.870000 	 -10.310000 	 11.310000 	 -13.000000 	 13.000000
0.880000 	 -10.440000 	 11.440000 	 -13.000000 	 13.000000
0.890000 	 -10.570000 	 11.570000 	 -13.000000 	 13.000000
0.900000 	 -10.700000 	 11.700000 	 -13.000000 	 13.000000
0.910000 	 -10.830000 	 11.830000 	 -13.000000 	 13.000000
0.920000 	 -10.960000 	 11.960000 	 -13.000000 	 13.000000
0.930000 	 -11.090000 	 12.090000 	 -13.000000 	 13.000000
0.940000 	 -11.220000 	 12.220000 	 -13.000000 	 13.000000
0.950000 	 -11.350000 	 12.350000 	 -13.000000 	 13.000000
0.960000 	 -11.480000 	 12.480000 	 -13.000000 	 13.000000
0.970000 	 -11.610000 	 12.610000 	 -13.000000 	 13.000000
0.980000 	 -11.740000 	 12.740000 	 -13.000000 	 13.000000
0.990000 	 -11.870000 	 12.870000 	 -13.000000 	 13.000000
1.000000 	 -12.000000 	 13.000000 	 -13.000000 	 13.000000
