# time	stress	strain
0.0000000000	0.0000000000	0.0000000000
0.0100000000	0.0395178960	0.0010010000
0.0200000000	0.0788791585	0.0019980324
0.0300000000	0.1179276251	0.0029871416
0.0400000000	0.1565080766	0.0039643959
0.0500000000	0.1944668664	0.0049259033
0.0600000000	0.2316525476	0.0058678276
0.0700000000	0.2679164963	0.0067864041
0.0800000000	0.3031135270	0.0076779553
0.0900000000	0.3371024974	0.0085389060
0.1000000000	0.3697469011	0.0093657984
0.1100000000	0.4009154430	0.0101553068
0.1200000000	0.4304825966	0.0109042516
0.1300000000	0.4583291394	0.0116096127
0.1400000000	0.4843426631	0.0122685430
0.1500000000	0.5084180579	0.0128783799
0.1600000000	0.5304579660	0.0134366572
0.1700000000	0.5503732029	0.0139411161
0.1800000000	0.5680831454	0.0143897142
0.1900000000	0.5835160817	0.0147806350
0.2000000000	0.5966095236	0.0151122958
0.2100000000	0.6073104787	0.0153833541
0.2200000000	0.6155756807	0.0155927141
0.2300000000	0.6213717763	0.0157395310
0.2400000000	0.6246754692	0.0158232145
0.2500000000	0.6254736184	0.0158434318
0.2600000000	0.6237632918	0.0158001088
0.2700000000	0.6195517738	0.0156934298
0.2800000000	0.6128565284	0.0155238372
0.2900000000	0.6037051164	0.0152920292
0.3000000000	0.5921350680	0.0149989565
0.3100000000	0.5781937122	0.0146458178
0.3200000000	0.5619379631	0.0142340549
0.3300000000	0.5434340648	0.0137653457
0.3400000000	0.5227572964	0.0132415970
0.3500000000	0.4999916389	0.0126649362
0.3600000000	0.4752294058	0.0120377015
0.3700000000	0.4485708394	0.0113624321
0.3800000000	0.4201236752	0.0106418570
0.3900000000	0.3900026766	0.0098788832
0.4000000000	0.3583291429	0.0090765832
0.4100000000	0.3252303919	0.0082381821
0.4200000000	0.2908392216	0.0073670435
0.4300000000	0.2552933520	0.0064666561
0.4400000000	0.2187348506	0.0055406185
0.4500000000	0.1813095445	0.0045926244
0.4600000000	0.1431664210	0.0036264478
0.4700000000	0.1044570203	0.0026459272
0.4800000000	0.0653348225	0.0016549504
0.4900000000	0.0259546318	0.0006574385
0.5000000000	-0.0135280401	-0.0003426693
0.5100000000	-0.0529575877	-0.0013414314
0.5200000000	-0.0921789220	-0.0023349194
0.5300000000	-0.1310380726	-0.0033192332
0.5400000000	-0.1693827822	-0.0042905160
0.5500000000	-0.2070630890	-0.0052449693
0.5600000000	-0.2439318959	-0.0061788671
0.5700000000	-0.2798455256	-0.0070885700
0.5800000000	-0.3146642578	-0.0079705388
0.5900000000	-0.3482528490	-0.0088213477
0.6000000000	-0.3804810312	-0.0096376971
0.6100000000	-0.4112239903	-0.0104164254
0.6200000000	-0.4403628210	-0.0111545206
0.6300000000	-0.4677849583	-0.0118491314
0.6400000000	-0.4933845832	-0.0124975775
0.6500000000	-0.5170630032	-0.0130973589
0.6600000000	-0.5387290049	-0.0136461651
0.6700000000	-0.5582991797	-0.0141418834
0.6800000000	-0.5756982201	-0.0145826063
0.6900000000	-0.5908591868	-0.0149666380
0.7000000000	-0.6037237464	-0.0152925011
0.7100000000	-0.6142423784	-0.0155589412
0.7200000000	-0.6223745509	-0.0157649315
0.7300000000	-0.6280888657	-0.0159096768
0.7400000000	-0.6313631711	-0.0159926160
0.7500000000	-0.6321846434	-0.0160134241
0.7600000000	-0.6305498358	-0.0159720139
0.7700000000	-0.6264646947	-0.0158685361
0.7800000000	-0.6199445447	-0.0157033788
0.7900000000	-0.6110140398	-0.0154771664
0.8000000000	-0.5997070827	-0.0151907579
0.8100000000	-0.5860667121	-0.0148452432
0.8200000000	-0.5701449570	-0.0144419405
0.8300000000	-0.5520026593	-0.0139823907
0.8400000000	-0.5317092647	-0.0134683530
0.8500000000	-0.5093425820	-0.0129017983
0.8600000000	-0.4849885116	-0.0122849025
0.8700000000	-0.4587407433	-0.0116200388
0.8800000000	-0.4307004248	-0.0109097692
0.8900000000	-0.4009758006	-0.0101568357
0.9000000000	-0.3696818228	-0.0093641500
0.9100000000	-0.3369397350	-0.0085347832
0.9200000000	-0.3028766291	-0.0076719546
0.9300000000	-0.2676249781	-0.0067790199
0.9400000000	-0.2313221445	-0.0058594584
0.9500000000	-0.1941098664	-0.0049168604
0.9600000000	-0.1561337233	-0.0039549134
0.9700000000	-0.1175425822	-0.0029773884
0.9800000000	-0.0784880275	-0.0019881250
0.9900000000	-0.0391237744	-0.0009910168
1.0000000000	0.0003949298	0.0000100037
1.0100000000	0.0399119156	0.0010109806
1.0200000000	0.0792707102	0.0020079505
1.0300000000	0.1183151617	0.0029969581
1.0400000000	0.1568900680	0.0039740718
1.0500000000	0.1948418054	0.0049354006
1.0600000000	0.2320189564	0.0058771088
1.0700000000	0.2682729323	0.0067954328
1.0800000000	0.3034585887	0.0076866958
1.0900000000	0.3374348303	0.0085473241
1.1000000000	0.3700652032	0.0093738611
1.1100000000	0.4012184702	0.0101629826
1.1200000000	0.4307691678	0.0109115105
1.1300000000	0.4585981415	0.0116164266
1.1400000000	0.4845930556	0.0122748855
1.1500000000	0.5086488771	0.0128842266
1.1600000000	0.5306683290	0.0134419858
1.1700000000	0.5505623116	0.0139459063
1.1800000000	0.5682502892	0.0143939480
1.1900000000	0.5836606406	0.0147842967
1.2000000000	0.5967309710	0.0151153721
1.2100000000	0.6074083830	0.0153858341
1.2200000000	0.6156497071	0.0155945893
1.2300000000	0.6214216881	0.0157407952
1.2400000000	0.6247011287	0.0158238644
1.2500000000	0.6254749868	0.0158434665
1.2600000000	0.6237404293	0.0157995296
1.2700000000	0.6195048393	0.0156922409
1.2800000000	0.6127857782	0.0155220451
1.2900000000	0.6036109028	0.0152896428
1.3000000000	0.5920178375	0.0149959870
