# time	x_num	v_num	x_ana	v_ana
0.0000000000	12.5000000000	0.0707106781	12.5000000000	0.0707106781
0.0192307692	12.5013548634	0.0707106781	12.5013597876	0.0707055163
0.0384615385	12.5027095302	0.0707004079	12.5027193768	0.0706900316
0.0576923077	12.5040638034	0.0706798656	12.5040785689	0.0706642263
0.0769230769	12.5054174863	0.0706490506	12.5054371655	0.0706281041
0.0961538462	12.5067703820	0.0706079638	12.5067949683	0.0705816703
0.1153846154	12.5081222936	0.0705566078	12.5081517791	0.0705249318
0.1346153846	12.5094730246	0.0704949866	12.5095073997	0.0704578967
0.1538461538	12.5108223784	0.0704231057	12.5108616322	0.0703805748
0.1730769231	12.5121701583	0.0703409721	12.5122142790	0.0702929776
0.1923076923	12.5135161682	0.0702485943	12.5135651425	0.0701951177
0.2115384615	12.5148602120	0.0701459824	12.5149140255	0.0700870094
0.2307692308	12.5162020937	0.0700331478	12.5162607311	0.0699686685
0.2500000000	12.5175416177	0.0699101037	12.5176050627	0.0698401123
0.2692307692	12.5188785888	0.0697768647	12.5189468239	0.0697013596
0.2884615385	12.5202128118	0.0696334467	12.5202858190	0.0695524306
0.3076923077	12.5215440922	0.0694798675	12.5216218523	0.0693933471
0.3269230769	12.5228722356	0.0693161460	12.5229547289	0.0692241323
0.3461538462	12.5241970481	0.0691423028	12.5242842541	0.0690448108
0.3653846154	12.5255183363	0.0689583601	12.5256102339	0.0688554090
0.3846153846	12.5268359072	0.0687643414	12.5269324747	0.0686559543
0.4038461538	12.5281495684	0.0685602716	12.5282507833	0.0684464760
0.4230769231	12.5294591279	0.0683461772	12.5295649674	0.0682270047
0.4423076923	12.5307643944	0.0681220861	12.5308748350	0.0679975723
0.4615384615	12.5320651771	0.0678880277	12.5321801950	0.0677582124
0.4807692308	12.5333612858	0.0676440327	12.5334808567	0.0675089599
0.5000000000	12.5346525312	0.0673901332	12.5347766303	0.0672498512
0.5192307692	12.5359387245	0.0671263627	12.5360673265	0.0669809241
0.5384615385	12.5372196775	0.0668527562	12.5373527570	0.0667022180
0.5576923077	12.5384952030	0.0665693498	12.5386327340	0.0664137734
0.5769230769	12.5397651145	0.0662761811	12.5399070707	0.0661156326
0.5961538462	12.5410292263	0.0659732889	12.5411755811	0.0658078389
0.6153846154	12.5422873536	0.0656607134	12.5424380798	0.0654904375
0.6346153846	12.5435393123	0.0653384959	12.5436943827	0.0651634745
0.6538461538	12.5447849195	0.0650066791	12.5449443063	0.0648269978
0.6730769231	12.5460239929	0.0646653068	12.5461876681	0.0644810565
0.6923076923	12.5472563515	0.0643144242	12.5474242866	0.0641257010
0.7115384615	12.5484818149	0.0639540775	12.5486539812	0.0637609833
0.7307692308	12.5497002040	0.0635843143	12.5498765725	0.0633869566
