# time	stress	strain
0.0000000000	0.0000000000	0.0000000000
0.0192307692	0.0085232304	0.0000852323
0.0384615385	0.0170452226	0.0001704522
0.0576923077	0.0255647387	0.0002556474
0.0769230769	0.0340805408	0.0003408054
0.0961538462	0.0425913919	0.0004259139
0.1153846154	0.0510960556	0.0005109606
0.1346153846	0.0595932964	0.0005959330
0.1538461538	0.0680818800	0.0006808188
0.1730769231	0.0765605737	0.0007656057
0.1923076923	0.0850281462	0.0008502815
0.2115384615	0.0934833683	0.0009348337
0.2307692308	0.1019250130	0.0010192501
0.2500000000	0.1103518558	0.0011035186
0.2692307692	0.1187626752	0.0011876268
0.2884615385	0.1271562529	0.0012715625
0.3076923077	0.1355313743	0.0013553137
0.3269230769	0.1438868285	0.0014388683
0.3461538462	0.1522214094	0.0015222141
0.3653846154	0.1605339154	0.0016053392
0.3846153846	0.1688231505	0.0016882315
0.4038461538	0.1770879240	0.0017708792
0.4230769231	0.1853270517	0.0018532705
0.4423076923	0.1935393555	0.0019353936
0.4615384615	0.2017236646	0.0020172366
0.4807692308	0.2098788154	0.0020987882
0.5000000000	0.2180036520	0.0021800365
0.5192307692	0.2260970268	0.0022609703
0.5384615385	0.2341578004	0.0023415780
0.5576923077	0.2421848422	0.0024218484
0.5769230769	0.2501770306	0.0025017703
0.5961538462	0.2581332531	0.0025813325
0.6153846154	0.2660524067	0.0026605241
0.6346153846	0.2739333976	0.0027393340
0.6538461538	0.2817751416	0.0028177514
0.6730769231	0.2895765642	0.0028957656
0.6923076923	0.2973365998	0.0029733660
0.7115384615	0.3050541925	0.0030505419
0.7307692308	0.3127282951	0.0031272830
0.7500000000	0.3203578693	0.0032035787
0.7692307692	0.3279418851	0.0032794189
0.7884615385	0.3354793204	0.0033547932
0.8076923077	0.3429691607	0.0034296916
0.8269230769	0.3504103982	0.0035041040
0.8461538462	0.3578020315	0.0035780203
0.8653846154	0.3651430648	0.0036514306
0.8846153846	0.3724325071	0.0037243251
0.9038461538	0.3796693718	0.0037966937
0.9230769231	0.3868526753	0.0038685268
0.9423076923	0.3939814366	0.0039398144
0.9615384615	0.4010546766	0.0040105468
0.9807692308	0.4080714167	0.0040807142
1.0000000000	0.4150306785	0.0041503068
1.0192307692	0.4219314826	0.0042193148
1.0384615385	0.4287728480	0.0042877285
1.0576923077	0.4355537913	0.0043555379
1.0769230769	0.4422733259	0.0044227333
1.0961538462	0.4489304613	0.0044893046
1.1153846154	0.4555242026	0.0045552420
1.1346153846	0.4620535499	0.0046205355
1.1538461538	0.4685174982	0.0046851750
1.1730769231	0.4749150364	0.0047491504
1.1923076923	0.4812451479	0.0048124515
1.2115384615	0.4875068098	0.0048750681
1.2307692308	0.4936989936	0.0049369899
1.2500000000	0.4998206648	0.0049982066
1.2692307692	0.5058707838	0.0050587078
1.2884615385	0.5118483058	0.0051184831
1.3076923077	0.5177521821	0.0051775218
1.3269230769	0.5235813602	0.0052358136
1.3461538462	0.5293347853	0.0052933479
1.3653846154	0.5350114012	0.0053501140
1.3846153846	0.5406101516	0.0054061015
1.4038461538	0.5461299815	0.0054612998
1.4230769231	0.5515698387	0.0055156984
1.4423076923	0.5569286757	0.0055692868
1.4615384615	0.5622054512	0.0056220545
1.4807692308	0.5673991326	0.0056739913
1.5000000000	0.5725086974	0.0057250870
1.5192307692	0.5775331358	0.0057753314
1.5384615385	0.5824714526	0.0058247145
1.5576923077	0.5873226698	0.0058732267
1.5769230769	0.5920858289	0.0059208583
1.5961538462	0.5967599929	0.0059675999
1.6153846154	0.6013442490	0.0060134425
1.6346153846	0.6058377108	0.0060583771
1.6538461538	0.6102395208	0.0061023952
1.6730769231	0.6145488523	0.0061454885
1.6923076923	0.6187649118	0.0061876491
1.7115384615	0.6228869411	0.0062288694
1.7307692308	0.6269142193	0.0062691422
1.7500000000	0.6308460643	0.0063084606
1.7692307692	0.6346818349	0.0063468183
1.7884615385	0.6384209320	0.0063842093
1.8076923077	0.6420627999	0.0064206280
1.8269230769	0.6456069274	0.0064560693
1.8461538462	0.6490528489	0.0064905285
1.8653846154	0.6524001445	0.0065240014
1.8846153846	0.6556484408	0.0065564844
1.9038461538	0.6587974111	0.0065879741
1.9230769231	0.6618467744	0.0066184677
1.9423076923	0.6647962962	0.0066479630
1.9615384615	0.6676457867	0.0066764579
1.9807692308	0.6703951003	0.0067039510
2.0000000000	0.6730441346	0.0067304413
2.0192307692	0.6755928283	0.0067559283
2.0384615385	0.6780411596	0.0067804116
2.0576923077	0.6803891445	0.0068038914
2.0769230769	0.6826368342	0.0068263683
2.0961538462	0.6847843125	0.0068478431
2.1153846154	0.6868316936	0.0068683169
2.1346153846	0.6887791185	0.0068877912
2.1538461538	0.6906267525	0.0069062675
2.1730769231	0.6923747820	0.0069237478
2.1923076923	0.6940234108	0.0069402341
2.2115384615	0.6955728568	0.0069557286
2.2307692308	0.6970233489	0.0069702335
2.2500000000	0.6983751231	0.0069837512
2.2692307692	0.6996284191	0.0069962842
2.2884615385	0.7007834767	0.0070078348
2.3076923077	0.7018405328	0.0070184053
2.3269230769	0.7027998174	0.0070279982
2.3461538462	0.7036615509	0.0070366155
2.3653846154	0.7044259407	0.0070442594
2.3846153846	0.7050931785	0.0070509318
2.4038461538	0.7056634374	0.0070566344
2.4230769231	0.7061368693	0.0070613687
2.4423076923	0.7065136032	0.0070651360
2.4615384615	0.7067937423	0.0070679374
2.4807692308	0.7069773635	0.0070697736
2.5000000000	0.7070645148	0.0070706451
2.5192307692	0.7070552151	0.0070705522
2.5384615385	0.7069494532	0.0070694945
2.5576923077	0.7067471875	0.0070674719
2.5769230769	0.7064483457	0.0070644835
2.5961538462	0.7060528256	0.0070605283
2.6153846154	0.7055604956	0.0070556050
2.6346153846	0.7049711953	0.0070497120
2.6538461538	0.7042847380	0.0070428474
2.6730769231	0.7035009111	0.0070350091
2.6923076923	0.7026194792	0.0070261948
2.7115384615	0.7016401861	0.0070164019
2.7307692308	0.7005627574	0.0070056276
2.7500000000	0.6993869035	0.0069938690
2.7692307692	0.6981123230	0.0069811232
2.7884615385	0.6967387056	0.0069673871
2.8076923077	0.6952657364	0.0069526574
2.8269230769	0.6936930993	0.0069369310
2.8461538462	0.6920204807	0.0069202048
2.8653846154	0.6902475740	0.0069024757
2.8846153846	0.6883740835	0.0068837408
