# time	x_num	v_num	x_ana	v_ana
0.0000000000	12.1794871795	0.0692724354	12.1794871795	0.0692724354
0.0192307692	12.1808149947	0.0692724354	12.1808193093	0.0692673785
0.0384615385	12.1821426150	0.0692623703	12.1821512446	0.0692522088
0.0576923077	12.1834698475	0.0692422382	12.1834827910	0.0692269283
0.0769230769	12.1847964991	0.0692120384	12.1848137540	0.0691915409
0.0961538462	12.1861223769	0.0691717720	12.1861439393	0.0691460515
0.1153846154	12.1874472879	0.0691214413	12.1874731528	0.0690904670
0.1346153846	12.1887710392	0.0690610502	12.1888012003	0.0690247954
0.1538461538	12.1900934382	0.0689906041	12.1901278880	0.0689490463
0.1730769231	12.1914142921	0.0689101097	12.1914530222	0.0688632308
0.1923076923	12.1927334086	0.0688195755	12.1927764094	0.0687673613
0.2115384615	12.1940505954	0.0687190112	12.1940978563	0.0686614519
0.2307692308	12.1953656603	0.0686084282	12.1954171702	0.0685455181
0.2500000000	12.1966784116	0.0684878391	12.1967341583	0.0684195767
0.2692307692	12.1979886579	0.0683572585	12.1980486283	0.0682836462
0.2884615385	12.1992962077	0.0682167019	12.1993603884	0.0681377464
0.3076923077	12.2006008704	0.0680661869	12.2006692471	0.0679818986
0.3269230769	12.2019024553	0.0679057321	12.2019750132	0.0678161256
0.3461538462	12.2032007724	0.0677353579	12.2032774962	0.0676404515
0.3653846154	12.2044956319	0.0675550861	12.2045765058	0.0674549020
0.3846153846	12.2057868446	0.0673649402	12.2058718523	0.0672595043
0.4038461538	12.2070742219	0.0671649451	12.2071633468	0.0670542867
0.4230769231	12.2083575753	0.0669551272	12.2084508006	0.0668392794
0.4423076923	12.2096367174	0.0667355145	12.2097340258	0.0666145136
0.4615384615	12.2109114608	0.0665061366	12.2110128350	0.0663800222
0.4807692308	12.2121816193	0.0662670246	12.2122870414	0.0661358395
0.5000000000	12.2134470069	0.0660182112	12.2135564592	0.0658820010
0.5192307692	12.2147074384	0.0657597306	12.2148209029	0.0656185439
0.5384615385	12.2159627293	0.0654916187	12.2160801879	0.0653455066
0.5576923077	12.2172126960	0.0652139129	12.2173341304	0.0650629289
0.5769230769	12.2184571553	0.0649266524	12.2185825474	0.0647708522
0.5961538462	12.2196959252	0.0646298776	12.2198252565	0.0644693191
0.6153846154	12.2209288241	0.0643236309	12.2210620762	0.0641583735
0.6346153846	12.2221556717	0.0640079561	12.2222928262	0.0638380609
0.6538461538	12.2233762882	0.0636828988	12.2235173265	0.0635084281
0.6730769231	12.2245904949	0.0633485060	12.2247353986	0.0631695231
0.6923076923	12.2257981140	0.0630048264	12.2259468645	0.0628213955
0.7115384615	12.2269989686	0.0626519105	12.2271515473	0.0624640961
