# time	stress	strain
0.0000000000	0.0000000000	0.0000000000
0.0192307692	0.0085249628	0.0000852496
0.0384615385	0.0170486866	0.0001704869
0.0576923077	0.0255699327	0.0002556993
0.0769230769	0.0340874627	0.0003408746
0.0961538462	0.0426000386	0.0004260004
0.1153846154	0.0511064233	0.0005110642
0.1346153846	0.0596053805	0.0005960538
0.1538461538	0.0680956752	0.0006809568
0.1730769231	0.0765760737	0.0007657607
0.1923076923	0.0850453438	0.0008504534
0.2115384615	0.0935022552	0.0009350226
0.2307692308	0.1019455798	0.0010194558
0.2500000000	0.1103740917	0.0011037409
0.2692307692	0.1187865677	0.0011878657
0.2884615385	0.1271817876	0.0012718179
0.3076923077	0.1355585342	0.0013555853
0.3269230769	0.1439155941	0.0014391559
0.3461538462	0.1522517576	0.0015225176
0.3653846154	0.1605658190	0.0016056582
0.3846153846	0.1688565772	0.0016885658
0.4038461538	0.1771228358	0.0017712284
0.4230769231	0.1853634035	0.0018536340
0.4423076923	0.1935770942	0.0019357709
0.4615384615	0.2017627274	0.0020176273
0.4807692308	0.2099191283	0.0020991913
0.5000000000	0.2180451285	0.0021804513
0.5192307692	0.2261395653	0.0022613957
0.5384615385	0.2342012828	0.0023420128
0.5576923077	0.2422291314	0.0024222913
0.5769230769	0.2502219683	0.0025022197
0.5961538462	0.2581786570	0.0025817866
0.6153846154	0.2660980681	0.0026609807
0.6346153846	0.2739790786	0.0027397908
0.6538461538	0.2818205720	0.0028182057
0.6730769231	0.2896214385	0.0028962144
0.6923076923	0.2973805746	0.0029738057
0.7115384615	0.3050968828	0.0030509688
0.7307692308	0.3127692715	0.0031276927
0.7500000000	0.3203966550	0.0032039666
0.7692307692	0.3279779528	0.0032797795
0.7884615385	0.3355120895	0.0033551209
0.8076923077	0.3429979945	0.0034299799
0.8269230769	0.3504346016	0.0035043460
0.8461538462	0.3578208486	0.0035782085
0.8653846154	0.3651556772	0.0036515568
0.8846153846	0.3724380325	0.0037243803
0.9038461538	0.3796668625	0.0037966686
0.9230769231	0.3868411181	0.0038684112
0.9423076923	0.3939597530	0.0039395975
0.9615384615	0.4010217228	0.0040102172
0.9807692308	0.4080259857	0.0040802599
1.0000000000	0.4149715017	0.0041497150
1.0192307692	0.4218572330	0.0042185723
1.0384615385	0.4286821436	0.0042868214
1.0576923077	0.4354452000	0.0043544520
1.0769230769	0.4421453710	0.0044214537
1.0961538462	0.4487816278	0.0044878163
1.1153846154	0.4553529451	0.0045535295
1.1346153846	0.4618583007	0.0046185830
1.1538461538	0.4682966766	0.0046829668
1.1730769231	0.4746670597	0.0047466706
1.1923076923	0.4809684424	0.0048096844
1.2115384615	0.4871998234	0.0048719982
1.2307692308	0.4933602086	0.0049336021
1.2500000000	0.4994486127	0.0049944861
1.2692307692	0.5054640596	0.0050546406
1.2884615385	0.5114055840	0.0051140558
1.3076923077	0.5172722325	0.0051727223
1.3269230769	0.5230630649	0.0052306306
1.3461538462	0.5287771559	0.0052877716
1.3653846154	0.5344135958	0.0053441360
1.3846153846	0.5399714925	0.0053997149
1.4038461538	0.5454499726	0.0054544997
1.4230769231	0.5508481827	0.0055084818
1.4423076923	0.5561652910	0.0055616529
1.4615384615	0.5614004884	0.0056140049
1.4807692308	0.5665529897	0.0056655299
1.5000000000	0.5716220347	0.0057162203
1.5192307692	0.5766068895	0.0057660689
1.5384615385	0.5815068472	0.0058150685
1.5576923077	0.5863212286	0.0058632123
1.5769230769	0.5910493832	0.0059104938
1.5961538462	0.5956906894	0.0059569069
1.6153846154	0.6002445548	0.0060024455
1.6346153846	0.6047104166	0.0060471042
1.6538461538	0.6090877414	0.0060908774
1.6730769231	0.6133760248	0.0061337602
1.6923076923	0.6175747915	0.0061757479
1.7115384615	0.6216835938	0.0062168359
1.7307692308	0.6257020118	0.0062570201
1.7500000000	0.6296296513	0.0062962965
1.7692307692	0.6334661436	0.0063346614
1.7884615385	0.6372111430	0.0063721114
1.8076923077	0.6408643261	0.0064086433
1.8269230769	0.6444253895	0.0064442539
1.8461538462	0.6478940480	0.0064789405
1.8653846154	0.6512700327	0.0065127003
1.8846153846	0.6545530882	0.0065455309
1.9038461538	0.6577429712	0.0065774297
1.9230769231	0.6608394471	0.0066083945
1.9423076923	0.6638422885	0.0066384229
1.9615384615	0.6667512720	0.0066675127
1.9807692308	0.6695661761	0.0066956618
2.0000000000	0.6722867784	0.0067228678
2.0192307692	0.6749128537	0.0067491285
2.0384615385	0.6774441712	0.0067744417
2.0576923077	0.6798804923	0.0067988049
2.0769230769	0.6822215686	0.0068222157
2.0961538462	0.6844671401	0.0068446714
2.1153846154	0.6866169332	0.0068661693
2.1346153846	0.6886706589	0.0068867066
2.1538461538	0.6906280122	0.0069062801
2.1730769231	0.6924886704	0.0069248867
2.1923076923	0.6942522924	0.0069425229
2.2115384615	0.6959185186	0.0069591852
2.2307692308	0.6974869702	0.0069748697
2.2500000000	0.6989572496	0.0069895725
2.2692307692	0.7003289408	0.0070032894
2.2884615385	0.7016016102	0.0070160161
2.3076923077	0.7027748076	0.0070277481
2.3269230769	0.7038480678	0.0070384807
2.3461538462	0.7048209124	0.0070482091
2.3653846154	0.7056928518	0.0070569285
2.3846153846	0.7064633874	0.0070646339
2.4038461538	0.7071320149	0.0070713201
2.4230769231	0.7076982266	0.0070769823
2.4423076923	0.7081615151	0.0070816152
2.4615384615	0.7085213762	0.0070852138
2.4807692308	0.7087773133	0.0070877731
2.5000000000	0.7089288405	0.0070892884
2.5192307692	0.7089754868	0.0070897549
2.5384615385	0.7089168000	0.0070891680
2.5576923077	0.7087523510	0.0070875235
2.5769230769	0.7084817377	0.0070848174
2.5961538462	0.7081045890	0.0070810459
2.6153846154	0.7076205688	0.0070762057
2.6346153846	0.7070293801	0.0070702938
2.6538461538	0.7063307685	0.0070633077
2.6730769231	0.7055245257	0.0070552453
2.6923076923	0.7046104930	0.0070461049
2.7115384615	0.7035885642	0.0070358856
2.7307692308	0.7024586884	0.0070245869
2.7500000000	0.7012208724	0.0070122087
2.7692307692	0.6998751828	0.0069987518
2.7884615385	0.6984217474	0.0069842175
2.8076923077	0.6968607569	0.0069686076
2.8269230769	0.6951924651	0.0069519247
2.8461538462	0.6934171897	0.0069341719
2.8653846154	0.6915353122	0.0069153531
2.8846153846	0.6895472767	0.0068954728
2.9038461538	0.6874535897	0.0068745359
2.9230769231	0.6852548178	0.0068525482
2.9423076923	0.6829515863	0.0068295159
2.9615384615	0.6805445762	0.0068054458
2.9807692308	0.6780345217	0.0067803452
3.0000000000	0.6754222068	0.0067542221
3.0192307692	0.6727084614	0.0067270846
3.0384615385	0.6698941574	0.0066989416
3.0576923077	0.6669802044	0.0066698020
3.0769230769	0.6639675447	0.0066396754
3.0961538462	0.6608571488	0.0066085715
3.1153846154	0.6576500098	0.0065765001
3.1346153846	0.6543471386	0.0065434714
3.1538461538	0.6509495581	0.0065094956
3.1730769231	0.6474582979	0.0064745830
3.1923076923	0.6438743888	0.0064387439
3.2115384615	0.6401988576	0.0064019886
3.2307692308	0.6364327213	0.0063643272
3.2500000000	0.6325769826	0.0063257698
3.2692307692	0.6286326243	0.0062863262
3.2884615385	0.6246006051	0.0062460061
3.3076923077	0.6204818549	0.0062048185
3.3269230769	0.6162772709	0.0061627727
3.3461538462	0.6119877139	0.0061198771
3.3653846154	0.6076140050	0.0060761401
3.3846153846	0.6031569232	0.0060315692
3.4038461538	0.5986172027	0.0059861720
3.4230769231	0.5939955313	0.0059399553
3.4423076923	0.5892925497	0.0058929255
3.4615384615	0.5845088501	0.0058450885
3.4807692308	0.5796449770	0.0057964498
3.5000000000	0.5747014271	0.0057470143
3.5192307692	0.5696786509	0.0056967865
3.5384615385	0.5645770542	0.0056457705
3.5576923077	0.5593970006	0.0055939700
3.5769230769	0.5541388141	0.0055413881
3.5961538462	0.5488027829	0.0054880278
3.6153846154	0.5433891629	0.0054338916
3.6346153846	0.5378981823	0.0053789818
3.6538461538	0.5323300462	0.0053233005
3.6730769231	0.5266849421	0.0052668494
3.6923076923	0.5209630452	0.0052096305
3.7115384615	0.5151645245	0.0051516452
3.7307692308	0.5092895484	0.0050928955
3.7500000000	0.5033382914	0.0050333829
3.7692307692	0.4973109405	0.0049731094
3.7884615385	0.4912077012	0.0049120770
3.8076923077	0.4850288044	0.0048502880
3.8269230769	0.4787745126	0.0047877451
3.8461538462	0.4724451262	0.0047244513
3.8653846154	0.4660409898	0.0046604099
3.8846153846	0.4595624974	0.0045956250
3.9038461538	0.4530100988	0.0045301010
3.9230769231	0.4463843041	0.0044638430
3.9423076923	0.4396856889	0.0043968569
3.9615384615	0.4329148984	0.0043291490
3.9807692308	0.4260726510	0.0042607265
4.0000000000	0.4191597423	0.0041915974
4.0192307692	0.4121770468	0.0041217705
4.0384615385	0.4051255206	0.0040512552
4.0576923077	0.3980062027	0.0039800620
4.0769230769	0.3908202158	0.0039082022
4.0961538462	0.3835687660	0.0038356877
4.1153846154	0.3762531427	0.0037625314
4.1346153846	0.3688747171	0.0036887472
4.1538461538	0.3614349404	0.0036143494
4.1730769231	0.3539353408	0.0035393534
4.1923076923	0.3463775207	0.0034637752
4.2115384615	0.3387631528	0.0033876315
4.2307692308	0.3310939754	0.0033109398
4.2500000000	0.3233717873	0.0032337179
4.2692307692	0.3155984429	0.0031559844
4.2884615385	0.3077758456	0.0030777585
4.3076923077	0.2999059416	0.0029990594
4.3269230769	0.2919907134	0.0029199071
4.3461538462	0.2840321723	0.0028403217
4.3653846154	0.2760323517	0.0027603235
4.3846153846	0.2679932991	0.0026799330
4.4038461538	0.2599170689	0.0025991707
4.4230769231	0.2518057148	0.0025180571
4.4423076923	0.2436612819	0.0024366128
4.4615384615	0.2354858000	0.0023548580
4.4807692308	0.2272812752	0.0022728128
4.5000000000	0.2190496839	0.0021904968
4.5192307692	0.2107929653	0.0021079297
4.5384615385	0.2025130156	0.0020251302
4.5576923077	0.1942116812	0.0019421168
4.5769230769	0.1858907540	0.0018589075
4.5961538462	0.1775519658	0.0017755197
4.6153846154	0.1691969841	0.0016919698
4.6346153846	0.1608274081	0.0016082741
4.6538461538	0.1524447657	0.0015244477
4.6730769231	0.1440505106	0.0014405051
4.6923076923	0.1356460206	0.0013564602
4.7115384615	0.1272325965	0.0012723260
4.7307692308	0.1188114614	0.0011881146
4.7500000000	0.1103837612	0.0011038376
4.7692307692	0.1019505654	0.0010195057
4.7884615385	0.0935128684	0.0009351287
4.8076923077	0.0850715927	0.0008507159
4.8269230769	0.0766275908	0.0007662759
4.8461538462	0.0681816495	0.0006818165
4.8653846154	0.0597344939	0.0005973449
4.8846153846	0.0512867921	0.0005128679
4.9038461538	0.0428391603	0.0004283916
4.9230769231	0.0343921687	0.0003439217
4.9423076923	0.0259463473	0.0002594635
4.9615384615	0.0175021926	0.0001750219
4.9807692308	0.0090601740	0.0000906017
5.0000000000	0.0006207409	0.0000062074
5.0192307692	-0.0078156705	-0.0000781567
5.0384615385	-0.0162486302	-0.0001624863
5.0576923077	-0.0246777066	-0.0002467771
5.0769230769	-0.0331024606	-0.0003310246
5.0961538462	-0.0415224376	-0.0004152244
5.1153846154	-0.0499371617	-0.0004993716
5.1346153846	-0.0583461284	-0.0005834613
5.1538461538	-0.0667487993	-0.0006674880
5.1730769231	-0.0751445958	-0.0007514460
5.1923076923	-0.0835328940	-0.0008353289
5.2115384615	-0.0919130198	-0.0009191302
5.2307692308	-0.1002842448	-0.0010028424
5.2500000000	-0.1086457822	-0.0010864578
5.2692307692	-0.1169967840	-0.0011699678
5.2884615385	-0.1253363384	-0.0012533634
