# time	x	y	vx	vy	stress_xx	strain_xx
0.0000000000	0.1375000000	0.1375000000	0.0000000000	0.0000000000	-2648.7000000000	0.0000000000
0.0008606970	0.1375000274	0.1374999985	0.0000318363	-0.0000017834	-2646.7467770318	0.0000134049
0.0017199314	0.1375003904	0.1375000255	0.0004224112	0.0000314469	-2642.4645167729	0.0000428645
0.0025784366	0.1375014126	0.1375001312	0.0011906947	0.0001231747	-2636.1531272911	0.0000863367
0.0034365070	0.1375032374	0.1375003436	0.0021266144	0.0002475344	-2628.2368607336	0.0001409076
0.0042942966	0.1375058960	0.1375006742	0.0030993827	0.0003853578	-2619.0961694151	0.0002039627
0.0051518984	0.1375093639	0.1375011249	0.0040437314	0.0005255991	-2609.0356183695	0.0002734109
0.0060093470	0.1375135909	0.1375016927	0.0049298083	0.0006620986	-2598.2902352492	0.0003476409
0.0068666247	0.1375185164	0.1375023711	0.0057454232	0.0007914345	-2587.0396930616	0.0004254227
0.0077237646	0.1375240767	0.1375031526	0.0064870891	0.0009117543	-2575.4203112990	0.0005058241
0.0085807916	0.1375302093	0.1375040286	0.0071556415	0.0010221456	-2563.5365585947	0.0005881312
0.0094377257	0.1375368540	0.1375049904	0.0077540654	0.0011222809	-2551.4692580956	0.0006717918
0.0102945790	0.1375439542	0.1375060290	0.0082863697	0.0012122025	-2539.2817191845	0.0007563732
0.0111513583	0.1375514570	0.1375071362	0.0087569912	0.0012921869	-2527.0241529276	0.0008415319
0.0120080761	0.1375593135	0.1375083036	0.0091704729	0.0013626560	-2514.7367499445	0.0009269926
0.0128647430	0.1375674787	0.1375095236	0.0095312868	0.0014241173	-2502.4521386341	0.0010125315
0.0137213680	0.1375759111	0.1375107889	0.0098437371	0.0014771246	-2490.1971101169	0.0010979642
0.0145779591	0.1375845728	0.1375120929	0.0101119064	0.0015222500	-2477.9938901903	0.0011831373
0.0154345230	0.1375934294	0.1375134292	0.0103396286	0.0015600652	-2465.8610837513	0.0012679222
0.0162910659	0.1376024492	0.1375147920	0.0105304805	0.0015911294	-2453.8143821155	0.0013522100
0.0171475933	0.1376116036	0.1375161762	0.0106877815	0.0016159810	-2441.8670981355	0.0014359077
0.0180041097	0.1376208664	0.1375175767	0.0108146018	0.0016351327	-2430.0305756900	0.0015189361
0.0188606195	0.1376302142	0.1375189891	0.0109137724	0.0016490691	-2418.3145070039	0.0016012269
0.0197171264	0.1376396254	0.1375204094	0.0109878987	0.0016582451	-2406.7271819043	0.0016827215
0.0205736337	0.1376490807	0.1375218339	0.0110393739	0.0016630857	-2395.2756864258	0.0017633696
0.0214301444	0.1376585626	0.1375232591	0.0110703934	0.0016639868	-2383.9660633939	0.0018431279
0.0222866611	0.1376680554	0.1375246820	0.0110829692	0.0016613157	-2372.8034441774	0.0019219593
0.0231431863	0.1376775448	0.1375260999	0.0110789429	0.0016554128	-2361.7921583360	0.0019998322
0.0239997218	0.1376870181	0.1375275103	0.0110599993	0.0016465928	-2350.9358261041	0.0020767200
0.0248562397	0.1376964634	0.1375289108	0.0110276712	0.0016351453	-2340.2378375860	0.0021525975
0.0257127384	0.1377058707	0.1375302995	0.0109833611	0.0016213376	-2329.7006934998	0.0022274455
0.0265692198	0.1377152306	0.1375316745	0.0109283439	0.0016054148	-2319.3263452551	0.0023012489
0.0274256856	0.1377245351	0.1375330342	0.0108637871	0.0015876031	-2308.6446421579	0.0023774932
0.0282819917	0.1377338253	0.1375343766	0.0108492240	0.0015676273	-2297.0325916573	0.0024608011
0.0291377349	0.1377432892	0.1375356991	0.0110592393	0.0015453959	-2284.3919947197	0.0025519140
0.0299930295	0.1377530750	0.1375369990	0.0114414173	0.0015199064	-2270.7936520089	0.0026503190
0.0308479548	0.1377632593	0.1375382748	0.0119124743	0.0014922994	-2256.2968703546	0.0027555758
0.0317025883	0.1377738974	0.1375395281	0.0124475792	0.0014663908	-2241.0264525260	0.0028667673
0.0325569490	0.1377850166	0.1375407605	0.0130146357	0.0014424689	-2225.1313492874	0.0029828027
0.0334110684	0.1377966184	0.1375419728	0.0135834392	0.0014193507	-2208.7511734704	0.0031026620
0.0342649757	0.1378086879	0.1375431648	0.0141343888	0.0013959569	-2191.9999646064	0.0032255139
0.0351186941	0.1378212008	0.1375443355	0.0146569485	0.0013713187	-2174.9385771209	0.0033509178
0.0359722236	0.1378341358	0.1375454831	0.0151547310	0.0013445962	-2157.6197366830	0.0034784879
0.0368255740	0.1378474721	0.1375466060	0.0156282033	0.0013158018	-2140.0622841893	0.0036080668
0.0376787610	0.1378611937	0.1375477045	0.0160826654	0.0012875793	-2122.2906491109	0.0037394576
0.0385317960	0.1378752863	0.1375487807	0.0165205785	0.0012616061	-2104.3466484203	0.0038723472
0.0393846895	0.1378897315	0.1375498360	0.0169366548	0.0012372570	-2086.2787744163	0.0040063807
0.0402374522	0.1379045057	0.1375508707	0.0173251851	0.0012133632	-2068.1342117094	0.0041412160
0.0410900943	0.1379195824	0.1375518844	0.0176822985	0.0011889220	-2049.9553103003	0.0042765469
0.0419426254	0.1379349331	0.1375528761	0.0180060578	0.0011632917	-2031.7789182300	0.0044121071
0.0427950543	0.1379505292	0.1375538446	0.0182960835	0.0011360847	-2013.6368664309	0.0045476660
0.0436473891	0.1379663426	0.1375547881	0.0185529454	0.0011069999	-1995.5561725377	0.0046830278
0.0444996373	0.1379823458	0.1375557050	0.0187777231	0.0010758575	-1977.5598036912	0.0048180256
0.0453518059	0.1379985124	0.1375565934	0.0189711257	0.0010424719	-1959.6672901832	0.0049525166
0.0462039011	0.1380148168	0.1375574514	0.0191344465	0.0010069060	-1941.8955783869	0.0050863759
0.0470559288	0.1380312348	0.1375582770	0.0192692545	0.0009690936	-1924.2585001044	0.0052195013
0.0479078943	0.1380477436	0.1375590686	0.0193774080	0.0009290587	-1906.7672331069	0.0053518090
0.0487598024	0.1380643226	0.1375598243	0.0194609228	0.0008871071	-1889.4317008524	0.0054832232
0.0496116577	0.1380809517	0.1375605428	0.0195210703	0.0008434573	-1872.2606101512	0.0056136764
0.0504634643	0.1380976112	0.1375612227	0.0195578325	0.0007981396	-1855.2614105430	0.0057431100
0.0513152259	0.1381142834	0.1375618627	0.0195738561	0.0007514318	-1838.4402569498	0.0058714746
0.0521669458	0.1381309528	0.1375624618	0.0195713992	0.0007033481	-1821.8012825404	0.0059987359
0.0530186273	0.1381476047	0.1375630188	0.0195517791	0.0006540122	-1805.3473919219	0.0061248683
0.0538702731	0.1381642243	0.1375635327	0.0195147436	0.0006034751	-1789.0803799534	0.0062498537
0.0547218858	0.1381807959	0.1375640028	0.0194590165	0.0005519944	-1773.0016698309	0.0063736759
0.0555734674	0.1381973071	0.1375644285	0.0193888682	0.0004998517	-1757.1120793667	0.0064963238
0.0564250198	0.1382137476	0.1375648093	0.0193065518	0.0004472142	-1741.4121344525	0.0066177888
0.0572765450	0.1382301087	0.1375651449	0.0192139056	0.0003940629	-1725.9015545469	0.0067380691
0.0581280447	0.1382463812	0.1375654349	0.0191103046	0.0003406388	-1710.5808834736	0.0068571557
0.0589795203	0.1382625551	0.1375656793	0.0189952505	0.0002870425	-1695.4496299952	0.0069750468
