# time	x	y	stress_xx	strain_xx
0.0000000000	0.1375000000	0.1375000000	0.0000000000	0.0000000000
0.0070710678	0.1375000000	0.1365657143	1672.5478840914	-0.6950330670
0.0141421356	0.1375291185	0.1347073366	1684.5700270614	-1.3947285747
0.0212132034	0.1375864864	0.1321364967	1710.8449727591	-2.1050635605
0.0282842712	0.1376692271	0.1284782053	1715.3121681023	-2.8170551136
0.0353553391	0.1377729383	0.1235089752	1777.4011317762	-3.5547585767
0.0424264069	0.1378925756	0.1174395706	1834.4717756573	-4.3161908257
0.0494974747	0.1380213680	0.1104019932	1901.2653543280	-5.1055088555
0.0565685425	0.1382331839	0.1025418985	1985.4069782733	-5.9291214738
0.0636396103	0.1384989665	0.0939542141	1981.6701611022	-6.7510740831
0.0707106781	0.1387790281	0.0854728056	2081.4899974359	-7.6148027212
0.0777817459	0.1390573539	0.0773043325	2187.5306803377	-8.5230256846
0.0848528137	0.1393125888	0.0685673537	2274.5146437424	-9.4679913997
0.0919238816	0.1394915124	0.0595910778	2375.0077042630	-10.4558356968
0.0989949494	0.1394526190	0.0501268650	2456.4064372903	-11.4793500728
0.1060660172	0.1391813277	0.0405464210	2481.3051201123	-12.5155765138
0.1131370850	0.1388375220	0.0319066586	2570.0773730462	-13.5890327989
0.1202081528	0.1385306048	0.0237089425	2635.3424423599	-14.6889864810
0.1272792206	0.1383025957	0.0164379025	2692.4758601608	-15.8117190172
0.1343502884	0.1381380346	0.0106648253	2742.7907556507	-16.9545209021
0.1414213562	0.1380039793	0.0067097939	2794.4823115181	-18.1182109969
0.1484924240	0.1379015318	0.0041315348	2830.7962547207	-19.2963651449
0.1555634919	0.1378325514	0.0024961686	2853.0115167384	-20.4831604201
0.1626345597	0.1377888214	0.0014818237	2864.8332480063	-21.6744485046
0.1697056275	0.1377625881	0.0008650068	2869.5823809935	-22.8674526227
0.1767766953	0.1377476848	0.0004967287	2869.7754824182	-24.0603882830
0.1838477631	0.1377395060	0.0002806548	2867.1400974091	-25.2521440047
