# time	x	y	stress_xx	strain_xx
0.0000000000	0.1375000000	0.1375000000	0.0000000000	0.0000000000
0.0009486833	0.1375000000	0.1374831829	3010.7630816598	-0.0125135847
0.0018973666	0.1375004900	0.1374497413	3013.7657115394	-0.0250340072
0.0028460499	0.1375014699	0.1373996822	3017.0722430448	-0.0375625497
0.0037947332	0.1375029388	0.1373330174	3020.6730314841	-0.0501004616
0.0047434165	0.1375048956	0.1372497635	3024.5581185464	-0.0626489584
0.0056920998	0.1375073388	0.1371499417	3028.7173044803	-0.0752092206
0.0066407831	0.1375102665	0.1370335779	3033.1401836567	-0.0877823935
0.0075894664	0.1375136763	0.1369007027	3037.8161564327	-0.1003695859
0.0085381497	0.1375175654	0.1367513512	3042.7344252334	-0.1129718690
0.0094868330	0.1375219309	0.1365855635	3047.8839797174	-0.1255902757
0.0104355163	0.1375267693	0.1364033841	3053.2535740294	-0.1382257995
0.0113841996	0.1375320767	0.1362048622	3058.8316980151	-0.1508793929
0.0123328829	0.1375378491	0.1359900518	3064.6065436092	-0.1635519660
0.0132815662	0.1375440820	0.1357590117	3070.5659672176	-0.1762443851
0.0142302495	0.1375507706	0.1355118052	3076.6974487134	-0.1889574707
0.0151789328	0.1375579082	0.1352519785	3091.7863196570	-0.2017285678
0.0161276161	0.1375654862	0.1349779888	3100.5377884228	-0.2145314827
0.0170762994	0.1375734981	0.1346898809	3109.3460114424	-0.2273665795
0.0180249827	0.1375819369	0.1343877001	3118.1897993863	-0.2402341399
0.0189736660	0.1375907956	0.1340714925	3127.0486665495	-0.2531343659
0.0199223493	0.1376000668	0.1337413063	3135.9028085784	-0.2660673815
0.0208710326	0.1376097429	0.1333971914	3144.7330846963	-0.2790332357
0.0218197159	0.1376198163	0.1330392012	3153.5210001805	-0.2920319043
0.0227683992	0.1376302788	0.1326673924	3162.2486865247	-0.3050632923
0.0237170825	0.1376411223	0.1322761216	3127.5446948227	-0.3179470644
0.0246657657	0.1376523330	0.1318673281	3113.2700880107	-0.3307683591
0.0256144490	0.1376639014	0.1314413010	3099.1901376838	-0.3435281566
0.0265631323	0.1376758181	0.1309983439	3085.3123520251	-0.3562274703
0.0275118156	0.1376880733	0.1305387741	3071.6402429308	-0.3688673297
0.0284604989	0.1377006571	0.1300629221	3058.1731308768	-0.3814487633
0.0294091822	0.1377135642	0.1295639868	3104.0019230415	-0.3942184539
0.0303578655	0.1377267890	0.1290445628	3121.5408688680	-0.4070589086
0.0313065488	0.1377403212	0.1285047828	3139.1702347807	-0.4199706799
0.0322552321	0.1377541505	0.1279448131	3156.7211429193	-0.4329536166
0.0332039154	0.1377682662	0.1273648272	3174.2002039547	-0.4460075960
0.0341525987	0.1377826576	0.1267650049	3191.6170075532	-0.4591325355
0.0351012820	0.1377973138	0.1261455315	3208.9836576604	-0.4723284035
0.0360499653	0.1378122238	0.1255065968	3226.3142932849	-0.4855952274
0.0369986486	0.1378273761	0.1248483944	3243.6245988273	-0.4989331003
0.0379473319	0.1378427594	0.1241711210	3260.9313087024	-0.5123421852
0.0388960152	0.1378583620	0.1234749753	3278.2517111448	-0.5258227176
0.0398446985	0.1378741719	0.1227601575	3295.6031558738	-0.5393750058
0.0407933818	0.1378901771	0.1220268682	3313.0025698379	-0.5529994293
0.0417420651	0.1379063652	0.1212753081	3330.4659846500	-0.5666964354
0.0426907484	0.1379227234	0.1205056771	3348.0080786317	-0.5804665340
0.0436394317	0.1379393176	0.1197181748	3365.9892428887	-0.5943108525
0.0445881150	0.1379571110	0.1189130233	3388.1481691599	-0.6082365327
0.0455367983	0.1379755525	0.1180904058	3407.1650393943	-0.6222389854
0.0464854816	0.1379946268	0.1172505117	3426.3037446078	-0.6363189024
0.0474341649	0.1380150033	0.1163935575	3448.5713018269	-0.6504818133
0.0483828482	0.1380363441	0.1155197220	3468.7819097271	-0.6647248632
0.0493315315	0.1380586356	0.1146291961	3489.1023783114	-0.6790486950
0.0502802148	0.1380818573	0.1137230109	3516.3593966491	-0.6934823734
0.0512288981	0.1381063713	0.1128013068	3538.5072085230	-0.7080006542
0.0521775814	0.1381319668	0.1118642722	3559.1809445022	-0.7226007617
0.0531262647	0.1381586301	0.1109121162	3579.6564138201	-0.7372820722
0.0540749480	0.1381863482	0.1099450626	3599.9365937619	-0.7520439816
0.0550236313	0.1382151085	0.1089633509	3620.0236124172	-0.7668859012
0.0559723146	0.1382448844	0.1079733066	3603.4349384581	-0.7816552299
0.0569209979	0.1382756240	0.1069716213	3605.4154792614	-0.7964300896
0.0578696812	0.1383073043	0.1059590621	3606.1810850275	-0.8112056773
0.0588183645	0.1383398998	0.1049363155	3606.5783524715	-0.8259807472
0.0597670478	0.1383733910	0.1038898483	2614.4716050275	-0.8366305323
0.0607157311	0.1384076624	0.1028366612	2625.0641479817	-0.8473221512
0.0616644144	0.1384426594	0.1017788109	2640.9428329905	-0.8580781888
0.0626130977	0.1384783327	0.1007164820	2657.2961912850	-0.8689009802
0.0635617810	0.1385146546	0.0996510473	2678.5567910543	-0.8798110647
0.0645104643	0.1385515997	0.0985822789	2698.1831913605	-0.8908017748
0.0654591476	0.1385891491	0.0975117213	2725.1176183209	-0.9019035575
0.0664078309	0.1386273214	0.0964416437	2763.0017661313	-0.9131620882
0.0673565142	0.1386660824	0.0953708588	2791.6890762921	-0.9245393560
0.0683051975	0.1387053959	0.0942993302	2820.1105496940	-0.9360344604
0.0692538808	0.1387452270	0.0932271299	2849.3311402353	-0.9476509840
0.0702025641	0.1387855424	0.0921542698	2878.9529763266	-0.9593908455
0.0711512474	0.1388263078	0.0910807436	2909.0881208714	-0.9712564428
0.0720999307	0.1388674881	0.0900065134	2939.6133530923	-0.9832496606
0.0730486139	0.1389090250	0.0889353430	2978.4677178046	-0.9954051038
0.0739972972	0.1389508126	0.0878647362	3010.9897912864	-1.0076973162
0.0749459805	0.1389928289	0.0867941113	3042.6663758241	-1.0201229636
0.0758946638	0.1390350552	0.0857233230	3074.5335707444	-1.0326829925
0.0768433471	0.1390775121	0.0846521175	3106.9254519619	-1.0453793162
0.0777920304	0.1391200206	0.0835788588	3133.4753723008	-1.0581901573
0.0787407137	0.1391624510	0.0824970677	3140.5468166005	-1.0710362650
0.0796893970	0.1392046196	0.0814083035	3161.7754591433	-1.0839779962
0.0806380803	0.1392464262	0.0803126344	3187.3160061972	-1.0970295112
0.0815867636	0.1392875842	0.0792098694	3210.9326185114	-1.1101904168
0.0825354469	0.1393280450	0.0780998355	3234.7486421946	-1.1234619474
